MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,LAST_FLIGHT_DATE,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,EXCHANGE_COUNT,avg_discount,Points_Sum,Point_NotFlight
2137,4/11/2005,5/3/2005,Male,6,guangzhou,guangdong,CN,69,3/31/2014,131,199716,86875,89532,220948,3/16/2014,16,5.492307692,50,14,0.944884271,234826,20
27708,3/20/2006,3/25/2006,Male,6,shenzhen,guangdong,CN,45,3/31/2014,95,194326,96692,75484,148227,3/29/2014,3,7.712765957,37,8,1.398640194,220012,19
28014,12/1/2006,1/7/2011,Female,6,Paris,,FR,48,3/31/2014,47,218842,63100,69298,285144,3/29/2014,3,15.80434783,105,5,0.725685618,251712,7
3539,10/13/2009,10/13/2009,Male,4,UPLAND,CALIFORNIA,US,53,3/31/2014,25,228851,115502,48696,220389,12/15/2013,108,23.41666667,72,9,0.937899941,258717,10
56149,2/13/2005,3/6/2005,Male,4,fanyu,guangdong,CN,39,3/31/2014,24,228227,138960,32385,189813,2/27/2014,34,27.82608696,192,6,1.087220053,239108,10
44936,3/30/2006,5/2/2007,Male,6,wulumuqishi,xinjiang,CN,37,3/31/2014,54,183336,101235,70902,141012,11/28/2013,125,11.37735849,54,5,1.462104927,206363,11
62751,5/8/2007,8/12/2007,Male,6,beijing,beijing,CN,45,3/31/2014,166,206908,71418,112597,229303,3/31/2014,1,4.381818182,31,10,0.890172305,260880,25
40066,2/27/2009,3/4/2009,Male,6,guangzhou,guangdong,CN,63,3/31/2014,81,185232,107153,75102,140819,2/27/2014,34,8.5625,46,1,1.429179443,213436,5
18793,4/25/2006,6/2/2006,Male,6,.,beijing,CN,48,3/31/2014,98,191809,88788,85119,137876,3/30/2014,2,7.505154639,46,11,1.458541443,210435,17
13963,1/18/2011,4/3/2011,Male,6,guangzhou,guangdong,CN,63,3/31/2014,35,230527,146039,119384,201141,3/29/2014,3,21.38235294,84,13,0.998554546,254051,16
46084,1/4/2007,3/31/2007,Male,6,guangzhou,guangdong,CN,54,3/31/2014,95,190478,91729,89721,140803,3/29/2014,3,7.712765957,47,1,1.396985007,220352,21
58798,5/4/2010,5/14/2010,Male,5,guangzhou,guangdong,CN,51,3/31/2014,46,177032,53523,50287,256766,3/19/2014,13,15.88888889,54,0,0.764737193,191878,2
56089,12/4/2004,2/27/2005,Male,6,guangzhoushi,guangdongsheng,CN,49,3/31/2014,54,208801,99145,84348,160825,2/23/2014,38,13.05660377,52,0,1.20853437,230772,4
58693,12/11/2010,8/6/2011,Male,6,PARIS,,FR,39,3/31/2014,21,219390,54900,63000,185493,3/10/2014,22,34.9,154,4,1.029507529,237893,5
28780,7/13/2012,7/13/2012,Male,6,guangzhou,guangdong,CN,47,3/31/2014,110,190726,75354,103498,187588,3/31/2014,1,5.752293578,39,5,1.015978367,227957,11
27836,7/16/2006,8/18/2006,Male,6,.,beijing,CN,59,3/31/2014,134,181303,106902,72650,140356,3/25/2014,7,5.428571429,37,9,1.356053179,200953,15
38073,1/26/2005,3/1/2005,Male,6,changsha,hunan,CN,76,3/31/2014,107,181982,81623,80541,135811,3/30/2014,2,6.839622642,30,2,1.398992423,205938,9
22629,7/15/2010,7/15/2010,Male,5,SUMIDA-KU,TOKYO-TO,JP,49,3/31/2014,70,195866,181233,27525,219282,6/2/2013,304,6.028985507,32,8,0.863479447,199386,9
12326,5/21/2008,6/12/2008,Male,6,.,beijing,CN,40,3/31/2014,189,181836,74201,104344,235687,3/31/2014,1,3.872340426,20,5,0.802633323,262134,56
24222,1/8/2012,2/23/2012,Male,6,guangzhou,guangdong,CN,51,3/31/2014,87,186523,80624,91862,132283,3/28/2014,4,8.418604651,44,3,1.425177007,206809,7
916,11/18/2006,6/1/2007,Male,6,fanyu,guangdong,CN,46,3/31/2014,29,192450,59672,56764,211369,3/21/2014,11,25.67857143,131,7,0.888869986,226692,10
45008,12/10/2007,12/10/2007,Male,5,wulumuqi,xinjiang,CN,54,3/31/2014,48,166322,45881,92675,130135,3/31/2014,1,15.14893617,61,3,1.408197795,195368,10
11523,7/6/2007,7/17/2007,Male,6,shenzhen,guangdong,CN,49,3/31/2014,68,175383,62056,93021,135374,3/31/2014,1,10.46268657,39,2,1.349375212,201197,11
56088,12/3/2004,1/13/2005,Male,6,guangzhou,guangdong,CN,41,3/31/2014,111,184392,67261,62413,216560,3/28/2014,4,6.590909091,39,19,0.828452854,272042,100
56573,11/26/2007,12/14/2007,Female,6,guangzhou,guangdong,CN,38,3/31/2014,69,163542,65014,91429,131660,3/10/2014,22,9.676470588,77,6,1.354943567,199477,39
38883,2/2/2008,2/2/2008,Male,6,guangzhou,guangdong,CN,48,3/31/2014,126,172529,83906,87043,204371,3/28/2014,4,5.704,33,2,0.867522349,234654,13
38035,12/28/2004,5/11/2005,Male,6,shenzhen,guangdongsheng,CN,42,3/31/2014,55,163139,53027,86719,153868,3/17/2014,15,13.16666667,59,0,1.146000598,177562,5
11034,1/26/2005,3/9/2005,Male,5,beijing,.,CN,59,3/31/2014,76,155120,53644,85537,214921,3/11/2014,21,9.133333333,34,5,0.819187329,190530,13
47143,2/17/2005,2/17/2005,Male,6,.,beijing,CN,48,3/31/2014,68,165817,78610,74530,127335,3/17/2014,15,10.52238806,60,3,1.380410335,186501,9
29033,11/19/2004,11/19/2004,Male,6,HK,HK,HK,60,3/31/2014,77,169956,60120,91155,136121,3/31/2014,1,9.552631579,55,4,1.288018381,195217,7
16812,6/9/2010,6/27/2010,Male,6,PUCHONG,Selangor Darul Ehsan,MY,52,3/31/2014,84,182039,69796,118928,186821,3/26/2014,6,8.734939759,69,1,0.938031056,204668,2
5241,5/14/2011,5/14/2011,Male,6,hangzhoushi,zhejiang,CN,31,3/31/2014,96,165370,78243,65025,204612,3/18/2014,14,7.294736842,55,12,0.848239546,259585,81
49208,5/28/2010,10/16/2010,Male,6,beijing,beijing,CN,44,3/31/2014,30,188887,41590,81104,164001,3/24/2014,8,23.34482759,128,2,1.057257212,219035,16
38241,8/13/2005,8/14/2005,Male,6,guangzhou,guangdong,CN,53,3/31/2014,85,179574,101471,66947,121097,3/13/2014,19,8.333333333,34,8,1.426106262,195796,15
38456,11/15/2007,11/16/2007,Male,5,TORRANCE,CALIFORNIA,US,39,3/31/2014,32,188209,77606,63733,182563,1/4/2014,88,18.58064516,127,8,0.944650121,206462,11
44377,7/10/2010,7/13/2010,Male,5,chengdu,sichuan,CN,53,3/31/2014,34,183443,69213,49135,170121,3/13/2014,19,21.57575758,90,10,1.013669976,201302,13
49737,10/30/2010,10/31/2010,Male,6,shishi,fujian,CN,30,3/31/2014,197,99590,113295,41200,275800,3/31/2014,1,3.714285714,28,0,0.620507614,134178,3
47919,12/14/2008,5/20/2010,Female,6,,VIC,AU,43,3/31/2014,30,198230,80383,91978,184194,3/25/2014,7,24.44827586,92,3,0.928504294,212047,3
23528,8/15/2012,8/15/2012,Male,6,LOS ANGELES,CA,US,33,3/31/2014,18,161279,19100,46215,209911,1/30/2014,62,31.35294118,141,2,0.811871079,182497,2
58088,10/19/2009,10/22/2009,Male,6,shenzhen,guangdong,CN,55,3/31/2014,64,179686,50385,115130,137636,3/13/2014,19,11.12698413,47,9,1.236256939,202596,14
51079,12/21/2011,12/21/2011,Male,6,shanghai,shanghai,CN,37,3/31/2014,149,141827,21251,45091,219108,3/28/2014,4,4.885135135,28,4,0.774487057,170799,8
19420,11/18/2007,8/23/2011,Male,6,changshashi,hunan,CN,47,3/31/2014,61,155772,36108,90487,143186,3/19/2014,13,11.93333333,56,3,1.183962818,170871,5
58753,10/13/2010,6/24/2012,Male,5,PARIS,PARIS,FR,28,3/31/2014,36,160297,34341,54825,209839,2/25/2014,36,17.45714286,94,2,0.806177069,181775,4
13517,8/14/2010,12/29/2010,Female,6,PARIS,PARIS,FR,45,3/31/2014,22,187933,24615,105814,170406,3/10/2014,22,32.66666667,133,0,0.992454374,208960,1
56048,3/15/2013,3/17/2013,Male,6,Haarlem,Noord-Holland,NL,46,3/31/2014,23,193780,18062,89648,169224,3/3/2014,29,16,71,1,0.995539285,220828,3
50434,6/9/2011,6/22/2011,Male,4,LOS ANGELES,,US,44,3/31/2014,16,196213,37800,54093,163191,3/14/2014,18,45,193,3,1.019520072,206055,4
13869,10/26/2010,10/27/2010,Male,6,zhanjiang,guangdong,CN,42,3/31/2014,102,166991,79538,108837,140220,3/24/2014,8,7.00990099,42,1,1.179368992,258781,36
47432,10/21/2005,2/21/2006,Male,5,guangzhou,guangdong,CN,47,3/31/2014,81,167849,90030,51276,159255,3/26/2014,6,9.0375,45,20,1.034587737,224076,64
60658,6/29/2012,6/29/2012,Female,6,MANTES LA VILLE,FR,FR,37,3/31/2014,30,148518,23000,61855,208687,3/26/2014,6,21.93103448,130,4,0.782406571,177837,5
9744,7/13/2006,7/11/2008,Male,5,.,beijing,CN,53,3/31/2014,127,168079,64222,95061,170611,3/20/2014,12,5.492063492,54,7,0.956332827,210483,25
18111,9/19/2008,9/19/2008,Male,6,wulumuqi,xinjiang,CN,44,3/31/2014,56,149456,44503,78197,116728,3/30/2014,2,11.47272727,68,5,1.394863786,164783,8
42444,4/25/2012,5/18/2012,Male,6,dongguan,guangdong,CN,67,3/31/2014,79,116059,77755,107694,208797,3/31/2014,1,8.756410256,32,2,0.777341772,154520,24
11055,2/17/2005,3/8/2005,Male,6,yangjiang,guangdong,CN,47,3/31/2014,97,152555,55464,88679,155881,3/23/2014,9,7.520833333,46,3,1.036667137,210280,51
47107,11/18/2004,11/18/2004,Female,6,shenzhen,guangdong,CN,57,3/31/2014,158,142626,73605,72492,205159,3/30/2014,2,4.624203822,25,3,0.784701427,167943,6
62880,5/8/2006,1/16/2009,Male,6,fuzhou,fujian,CN,55,3/31/2014,64,144803,33780,66940,115300,3/25/2014,7,11.33333333,54,0,1.391299306,177907,9
49441,7/3/2010,7/3/2010,Male,6,shenzhenshi,guangdong,CN,47,3/31/2014,51,162790,65145,51533,137500,3/19/2014,13,14.14,79,1,1.165835855,175423,8
20569,6/28/2007,3/12/2010,Female,6,zhongqing,zhongqing,CN,35,3/31/2014,29,181871,52395,48737,157056,11/9/2013,144,19.96428571,81,6,1.017859044,196377,13
47687,10/5/2007,10/25/2007,Male,6,guangzhou,guangdong,CN,70,3/31/2014,69,153766,71749,70946,114077,3/31/2014,1,10.5,109,10,1.387490292,171652,15
37305,6/13/2008,6/13/2008,Male,6,guangzhou,guangdong,CN,40,3/31/2014,88,150790,37667,109401,122619,3/17/2014,15,8.091954023,90,6,1.281481989,203485,15
58189,1/31/2011,1/31/2011,Male,6,nanning,guangxi,CN,54,3/31/2014,42,178832,23150,65152,162453,3/17/2014,15,15.65853659,136,4,0.966069448,198945,8
25857,1/26/2007,1/26/2007,Male,6,.,beijing,CN,43,3/31/2014,129,150057,85135,71385,109813,3/22/2014,10,5.5859375,17,8,1.429138536,209250,40
951,11/28/2006,11/28/2006,Male,6,.,beijing,CN,46,3/31/2014,67,148491,71181,71769,123464,3/18/2014,14,10.51515152,51,0,1.265322199,167126,5
4178,4/13/2010,2/21/2013,Male,5,SIPASDENA,CA91030,US,41,3/31/2014,12,181452,12500,110100,146784,2/8/2014,53,32,53,0,1.059166667,208118,2
2010,11/26/2004,2/13/2005,Male,6,guangzhoushi,guangdong,CN,40,3/31/2014,100,156294,64331,72891,162250,3/28/2014,4,7.323232323,27,2,0.952273652,234787,68
38290,9/23/2005,5/17/2006,Male,6,guangzhou,guangdong,CN,66,3/31/2014,69,148405,78724,56434,118726,3/21/2014,11,10.57352941,46,14,1.297050351,189498,47
57622,4/14/2011,4/14/2011,Male,6,Zwijndrecht,ZUID HOLLAND,NL,55,3/31/2014,17,157540,188926,174895,125349,2/27/2014,34,36.375,73,2,1.226505277,166984,3
2001,11/11/2004,11/27/2004,Female,6,guangzhoushi,guangdongsheng,CN,39,3/31/2014,12,181452,75100,53500,146784,3/23/2014,9,65.09090909,136,2,1.046666667,195408,6
60311,4/27/2012,5/18/2012,Male,6,xianggang,xianggang,HK,49,3/31/2014,54,135157,101923,71157,144562,3/28/2014,4,12.83018868,72,0,1.053910364,138647,0
36030,7/28/2008,7/28/2008,Male,6,zhuhai,guangdong,CN,51,3/31/2014,79,144647,74245,66353,123985,3/11/2014,21,9.076923077,48,7,1.228445376,214323,48
35766,9/8/2008,9/8/2008,Male,6,changchun,jilin,CN,56,3/31/2014,87,138406,69765,69062,105119,3/27/2014,5,8.38372093,36,9,1.445489778,155309,13
33319,4/28/2012,4/28/2012,Male,5,wulumuqi,xinjiang,CN,41,3/31/2014,53,128965,76881,51012,144682,3/15/2014,17,13.21153846,81,12,1.046215562,143172,18
55096,1/3/2007,3/6/2007,Male,6,zhongshan,guangdong,CN,47,3/31/2014,92,139459,73350,66291,134823,3/15/2014,17,7.824175824,36,13,1.118316089,213043,41
30681,5/26/2010,11/5/2010,Male,6,,,JP,55,3/31/2014,48,168825,96104,95788,150537,3/21/2014,11,14.91489362,70,5,1.001144569,220976,16
17837,10/22/2005,10/22/2005,Male,6,changchun,jilin,CN,48,3/31/2014,90,137685,68430,68978,108184,3/29/2014,3,8.112359551,51,6,1.390945611,154547,11
3872,1/18/2009,6/26/2009,Male,6,xianggang,xianggang,HK,61,3/31/2014,56,138314,59951,66704,104663,3/23/2014,9,12.90909091,82,0,1.435274261,150939,3
56201,4/5/2005,5/20/2005,Male,6,guangzhoushi,guangdong,CN,36,3/31/2014,146,140996,71300,68443,191328,3/28/2014,4,4.979310345,33,8,0.783239829,181374,17
4468,9/14/2011,9/16/2011,Female,6,ANDE,ANDE,FR,33,3/31/2014,35,151293,53356,39002,167150,3/17/2014,15,21.05882353,192,0,0.894261083,151293,0
32602,10/9/2011,10/9/2011,Male,6,Glendale,CA,US,55,3/31/2014,33,160926,72497,5665,174046,1/29/2014,63,20.40625,108,3,0.85318887,164243,5
11277,8/26/2005,10/29/2005,Male,6,shenzhen,guangdong,CN,45,3/31/2014,142,138626,54428,80511,177357,3/25/2014,7,5.113475177,35,7,0.835532119,172256,13
45117,11/17/2010,2/6/2011,Male,6,Suwanee,GA,US,30,3/31/2014,31,126239,23421,32296,204438,2/17/2014,44,21.43333333,89,3,0.723434195,162728,39
19051,11/28/2006,11/29/2006,Male,6,beijing,beijing,CN,42,3/31/2014,53,146519,70090,56015,102999,3/3/2014,29,13.42307692,106,5,1.434114409,159103,8
19371,5/31/2007,5/31/2007,Male,5,CRONULLA,NSW,AU,53,3/31/2014,21,164969,69100,55700,159605,3/18/2014,14,32.35,80,7,0.925114251,174849,8
60020,6/7/2012,6/16/2012,Female,4,LOS ANGELES,LA,US,49,3/31/2014,16,116312,20140,30850,195712,3/5/2014,27,41.86666667,150,0,0.75375,133754,1
2007,11/25/2004,4/19/2005,Male,6,guangzhou,guangdong,CN,43,3/31/2014,85,151345,58008,71227,155704,3/29/2014,3,8.630952381,60,15,0.946174922,182967,21
56093,11/24/2004,11/24/2004,Male,6,guangzhoushi,guangdongsheng,CN,59,3/31/2014,71,141563,64754,70510,119961,3/10/2014,22,9.571428571,44,6,1.225504039,156664,10
62762,8/23/2008,8/25/2008,Male,6,shenyang,liaoning,CN,42,3/31/2014,130,145214,32720,50685,167593,3/30/2014,2,5.465116279,64,2,0.873661907,258114,64
49215,5/7/2010,5/29/2010,Male,6,shenzhen,guangdong,CN,40,3/31/2014,89,126501,43042,79130,149557,3/28/2014,4,7.863636364,56,3,0.978068228,295393,50
20362,7/29/2005,9/14/2005,Male,6,guangzhou,guangdong,CN,59,3/31/2014,83,139199,53260,82972,103087,3/21/2014,11,8.756097561,45,11,1.411593411,165577,17
38022,12/2/2004,6/30/2005,Male,6,guangzhoushi,guangdongsheng,CN,36,3/31/2014,99,146797,52996,69050,162215,3/30/2014,2,7.255102041,28,9,0.896966187,200588,48
47179,3/16/2005,4/18/2005,Male,4,guangzhou,guangdong,CN,54,3/31/2014,40,124687,33993,35519,198627,3/5/2014,27,17.79487179,85,2,0.731685018,152573,6
17903,5/30/2008,5/30/2008,Male,6,changchun,jilin,CN,48,3/31/2014,52,134746,67215,58621,99524,3/21/2014,11,14.07843137,57,5,1.458000784,144914,7
45581,12/29/2005,12/29/2005,Male,6,guangzhou,guangdong,CN,49,3/31/2014,65,145852,73784,70564,119794,3/22/2014,10,10.96875,66,12,1.210876087,216228,36
47255,4/23/2005,6/21/2005,Female,5,wuhan,hubei,CN,48,3/31/2014,34,171324,83009,71460,151642,3/29/2014,3,19,126,1,0.951756044,186619,4
876,8/14/2006,8/14/2006,Male,6,.,beijing,CN,41,3/31/2014,83,149093,45490,79527,149993,3/26/2014,6,8.829268293,46,0,0.960765569,165704,4
6088,11/14/2011,2/5/2012,Male,5,shanghaishi,shanghai,CN,46,3/31/2014,65,137293,62763,81624,109089,3/8/2014,24,10.78125,59,0,1.318943707,154356,4
50931,12/20/2012,12/25/2012,Female,6,VALINDA,CA,US,47,3/31/2014,18,162084,7444,70223,146238,3/9/2014,23,25.88235294,136,2,0.982511386,180183,2
38443,6/8/2007,6/8/2007,Male,6,guangzhou,guangdong,CN,47,3/31/2014,66,139155,58495,72152,102689,3/28/2014,4,11.13846154,61,1,1.39722054,174814,8
8850,4/17/2006,5/14/2006,Male,6,wulumuqi,xinjiang,CN,51,3/31/2014,52,128038,28768,75154,105167,3/30/2014,2,13.01960784,67,2,1.356986792,155485,13
59307,3/15/2011,5/27/2012,Male,6,guangzhou,guangdong,CN,34,3/31/2014,27,119305,60310,25559,182561,2/23/2014,38,24.5,94,0,0.780547269,122509,0
20121,11/30/2004,1/5/2005,Male,6,shantoushi,guangdongsheng,CN,66,3/31/2014,193,130675,93532,60040,209912,3/31/2014,1,3.78125,31,17,0.675609779,242611,25
53451,6/26/2012,5/16/2013,Male,6,wulumuqi,xinjiang,CN,50,3/31/2014,65,112582,0,119684,184730,3/26/2014,6,4.921875,70,1,0.764,153208,14
59669,4/11/2012,7/30/2012,Male,4,dongguan,guangdong,CN,62,3/31/2014,14,167720,45675,23100,144708,2/2/2014,59,42.46153846,208,2,0.97367319,179310,3
49369,10/19/2009,1/28/2010,Male,5,dongguan,guangdong,CN,63,3/31/2014,24,105572,26870,31155,213058,3/21/2014,11,30.73913043,86,2,0.658633893,111104,2
52814,10/9/2010,10/10/2010,Male,6,dalian,liaoning,CN,44,3/31/2014,89,122732,37259,72426,177556,3/15/2014,17,7.965909091,35,0,0.787337009,141293,2
57377,6/20/2008,11/13/2008,Male,6,.,beijing,CN,50,3/31/2014,57,139756,55150,69155,98104,3/24/2014,8,12.875,63,10,1.42497258,155326,14
31219,11/13/2009,11/13/2009,Male,6,shanghai,shanghai,CN,42,3/31/2014,101,122805,3126,15735,140188,3/20/2014,12,7.15,25,9,0.996902945,181303,32
29392,3/3/2013,3/3/2013,Male,6,dongguan,guangdong,CN,33,3/31/2014,19,139379,25220,84795,155552,3/16/2014,16,21.05555556,64,0,0.897522308,139379,0
12578,6/29/2006,6/29/2006,Female,5,guangzhou,guangdong,CN,47,3/31/2014,95,128687,73267,46603,140931,3/8/2014,24,7.425531915,52,9,0.988949912,142516,16
19439,4/1/2008,1/5/2011,Male,6,.,beijing,CN,51,3/31/2014,85,136565,75444,64034,97855,3/25/2014,7,8.595238095,45,3,1.423453171,194017,46
29034,11/24/2004,12/24/2004,Male,6,guangzhou,guangdong,CN,47,3/31/2014,108,146964,67505,57435,169746,3/10/2014,22,6.61682243,29,12,0.817685954,192071,89
2012,11/26/2004,2/2/2007,Male,6,shenzhenshi,guangdongsheng,CN,51,3/31/2014,64,129600,48767,70429,97250,3/28/2014,4,11.47619048,51,15,1.426656247,153682,22
47194,4/2/2005,4/2/2005,Male,6,,beijing,CN,53,3/31/2014,113,114508,46357,73029,204853,3/29/2014,3,6.446428571,31,3,0.674381581,170970,32
26406,8/27/2009,11/12/2009,Male,6,wulumuqi,xinjiang,CN,56,3/31/2014,31,138229,46725,59667,95766,3/31/2014,1,24.16666667,94,13,1.438600025,158587,16
56437,11/16/2005,2/20/2006,Male,6,guangzhou,guangdong,CN,56,3/31/2014,79,123103,59892,61960,129119,3/27/2014,5,9.051282051,58,6,1.065611103,160671,49
59509,5/2/2012,5/2/2012,Male,5,shenyang,liaoning,CN,39,3/31/2014,109,123892,55140,57589,163010,3/15/2014,17,6.324074074,36,1,0.843554751,144137,5
13061,3/29/2009,11/3/2009,Male,4,guangzhou,guangdong,CN,52,3/31/2014,19,81412,24550,22100,201613,3/14/2014,18,33.94444444,119,3,0.681331859,81412,3
12155,6/4/2009,6/4/2009,Male,6,guangzhou,guangdong,CN,31,3/31/2014,120,123415,60467,67083,172352,3/7/2014,25,5.823529412,56,13,0.790287551,181078,50
26960,4/15/2006,7/2/2006,Male,5,wulumuqi,xinjiang,CN,47,3/31/2014,45,126790,42126,65876,116917,3/31/2014,1,16.40909091,52,1,1.154155854,144550,7
1123,5/8/2007,2/23/2012,Male,4,AMSTELVEEN,NOORD HOLLAND,NL,51,3/31/2014,19,158573,57507,28210,136374,11/18/2013,135,33.05555556,112,1,0.988910129,160482,2
12536,5/27/2010,10/10/2010,Male,6,Escondido,CA,US,78,3/31/2014,22,157809,48796,23824,135717,9/30/2013,184,24,150,5,0.993493225,166575,6
43627,12/27/2009,12/27/2009,Male,6,beijing,beijing,CN,43,3/31/2014,80,123833,56260,64169,105118,3/17/2014,15,8.873417722,45,0,1.277942503,141978,17
